Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,affiliation_data,unique_affiliation_count,all_usa,some_usa,all_china,some_china,unique_country_count,all_countries,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1904,affiliation_id_1904,affiliation_country_1904
Carson Denison,3,,https://openalex.org/A5079864698,A5079864698,,Carson Denison,Carson Denison,8,37,4.0,3,2,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassie Evraets,1,,https://openalex.org/A5093123089,A5093123089,,Cassie Evraets,Cassie Evraets,1,4,2.0,1,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Olsson,1,,https://openalex.org/A5108225540,A5108225540,,Catherine Olsson,"Catherine Olsson, C. Olsson, Catherine Anne White Olsson",49,10549,22.5625,24,28,True,7,False,True,False,False,3,"Australia, Sweden, United States",New York University,United States,,,,,,,New York University,https://openalex.org/I57206974,United States,Murdoch Children's Research Institute,https://openalex.org/I4210150290,Australia,AnthroTronix (United States),https://openalex.org/I4210115175,United States,,,,,,,New York University,https://openalex.org/I57206974,United States,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,Novita,https://openalex.org/I4210119946,Australia,Novita,https://openalex.org/I4210119946,Australia,Novita,https://openalex.org/I4210119946,Australia,,,,Novita,https://openalex.org/I4210119946,Australia,,,,Helsingborgs lasarett,https://openalex.org/I4210132623,Sweden,,,,Lund University,https://openalex.org/I187531555,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cem Anil,2,,https://openalex.org/A5113854698,A5113854698,,Cem Anil,Cem Anil,23,1406,14.2,12,12,True,2,False,False,False,False,2,"Canada, United Kingdom",University of Toronto,Canada,,,,,,,,,,University of Toronto,https://openalex.org/I185261750,Canada,University of Toronto,https://openalex.org/I185261750,Canada,,,,Nvidia (United Kingdom),https://openalex.org/I1304085615,United Kingdom,University of Toronto,https://openalex.org/I185261750,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Yan,1,,https://openalex.org/A5044218586,A5044218586,https://orcid.org/0000-0003-2399-723X,Da Yan,"Da Chen Yan, Yan Da, Yan D., D. Yan, Da Yan",395,12453,6.549450549450549,58,157,True,6,False,True,False,True,2,"China, United States",Tsinghua University,China,Tsinghua University,https://openalex.org/I99065089,China,Zhengzhou University,https://openalex.org/I38877650,China,Xinyang College of Agriculture and Forestry,https://openalex.org/I38756568,China,Binzhou University,https://openalex.org/I151013683,China,Binzhou Medical University,https://openalex.org/I134841294,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,University of Alabama at Birmingham,https://openalex.org/I32389192,United States,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel M. Ziegler,1,,https://openalex.org/A5109551394,A5109551394,,Daniel M. Ziegler,"Daniel Martin Ziegler, Daniel M. Ziegler, D. Ziegler, Daniel Ziegler, D.M Ziegler, D. M. Ziegler, DanielM. Ziegler",175,25075,0.7142857142857143,55,114,True,3,False,True,False,False,3,"Germany, United Kingdom, United States",Fraunhofer Institute for Industrial Engineering,Germany,,,,,,,Fraunhofer Institute for Industrial Engineering,https://openalex.org/I3020504353,Germany,American Jewish Committee,https://openalex.org/I1325517477,United States,University of Sheffield,https://openalex.org/I91136226,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Hernandez,1,,https://openalex.org/A5030442997,A5030442997,,Danny Hernandez,Danny Hernandez,15,1421,40.125,10,10,True,1,True,True,False,False,1,United States,OpenAI (United States),United States,,,,,,,,,,,,,,,,OpenAI (United States),https://openalex.org/I4210161460,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Duvenaud,4,,https://openalex.org/A5030409494,A5030409494,,David Duvenaud,"David K. Duvenaud, David Kristjanson Duvenaud, David Duvenaud",152,16568,3.0,53,97,True,8,False,True,False,False,4,"Canada, South Sudan, United Kingdom, United States",University of Toronto,Canada,,,,,,,,,,,,,University of Toronto,https://openalex.org/I185261750,Canada,University of Toronto,https://openalex.org/I185261750,Canada,Vector Institute,https://openalex.org/I4210127509,Canada,University of New Brunswick,https://openalex.org/I106938459,Canada,University of Toronto,https://openalex.org/I185261750,Canada,Harvard University,https://openalex.org/I136199984,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Bridge University,https://openalex.org/I4210096386,South Sudan,University of Cambridge,https://openalex.org/I241749,United Kingdom,University of Cambridge,https://openalex.org/I241749,United Kingdom,University of British Columbia,https://openalex.org/I141945490,Canada,University of British Columbia,https://openalex.org/I141945490,Canada,,,,University of British Columbia,https://openalex.org/I141945490,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Ganguli,4,,https://openalex.org/A5006294201,A5006294201,https://orcid.org/0009-0007-9435-3817,Deep Ganguli,Deep Ganguli,33,2265,31.5625,18,22,True,2,True,True,False,False,1,United States,Courant Institute of Mathematical Sciences,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Courant Institute of Mathematical Sciences,https://openalex.org/I36672615,United States,,,,,,,,,,New York University,https://openalex.org/I57206974,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Li,1,,https://openalex.org/A5077427160,A5077427160,,Dustin Li,Dustin Li,5,147,11.0,5,5,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Tran-Johnson,1,,https://openalex.org/A5072334146,A5072334146,,Eli Tran-Johnson,Eli Tran‐Johnson,3,268,33.333333333333336,3,2,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esin Durmus,6,,https://openalex.org/A5001994692,A5001994692,https://orcid.org/0009-0009-7331-8160,Esin Durmus,Esin Durmus,56,3325,8.703703703703704,22,30,True,3,True,True,False,False,1,United States,Stanford University,United States,,,,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Cornell University,https://openalex.org/I205783295,United States,George Washington University,https://openalex.org/I193531525,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Perez,6,,https://openalex.org/A5091112967,A5091112967,,Ethan Perez,"E.D. Carpio Perez, Ethan Perez",74,5163,11.6875,23,36,True,6,False,True,False,False,3,"Algeria, Israel, United States",University of the Pacific,United States,,,,,,,University of the Pacific,https://openalex.org/I119942576,United States,University of Notre Dame,https://openalex.org/I107639228,United States,New York University,https://openalex.org/I57206974,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I2252078561,Israel,Centre Universitaire de Mila,https://openalex.org/I4210155582,Algeria,Rice University,https://openalex.org/I74775410,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Hubinger,4,,https://openalex.org/A5025461840,A5025461840,,Evan Hubinger,Evan Hubinger,18,206,6.875,7,7,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Miller,1,,https://openalex.org/A5038728659,A5038728659,,Evan Miller,"E. K. Miller, Evan Miller",3,6,0.0,2,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabien Roger,1,,https://openalex.org/A5028042353,A5028042353,,Fabien Roger,Fabien Roger,8,9,0.4,2,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazl Barez,2,,https://openalex.org/A5050436152,A5050436152,https://orcid.org/0009-0008-1889-6577,Fazl Barez,Fazl Barez,41,63,0.8235294117647058,4,2,True,2,False,False,False,False,2,"France, United Kingdom",University of Oxford,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,,,,Centre de Robotique,https://openalex.org/I4403386650,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holden Karnofsky,1,,https://openalex.org/A5093713874,A5093713874,,Holden Karnofsky,Holden Karnofsky,2,15,0.0,1,1,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack A. Clark,1,,https://openalex.org/A5012713248,A5012713248,https://orcid.org/0000-0002-7424-1670,Jack A. Clark,"J. Clark, Jack Allen Clark, Jack A. Clark, J. A. Clark, Jack Clark",192,23630,11.590909090909092,57,124,True,6,False,True,False,False,2,"Belgium, United States",University of Arizona,United States,University of Arizona,https://openalex.org/I138006243,United States,Boston University,https://openalex.org/I111088046,United States,University of Arizona,https://openalex.org/I138006243,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,University of Antwerp,https://openalex.org/I149213910,Belgium,Boston University,https://openalex.org/I111088046,United States,Boston University,https://openalex.org/I111088046,United States,Bedford VA Research Corporation,https://openalex.org/I4210090056,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Bedford VA Research Corporation,https://openalex.org/I4210090056,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Edith Nourse Rogers Memorial Veterans Hospital,https://openalex.org/I2800300635,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,,,,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,Bedford VA Research Corporation,https://openalex.org/I4210090056,United States,Massachusetts General Hospital,https://openalex.org/I4210087915,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Chen,1,,https://openalex.org/A5113648568,A5113648568,,Jack Chen,Jack Chen,2,26,0.0,2,1,True,1,False,False,False,False,1,Australia,Royal North Shore Hospital,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal North Shore Hospital,https://openalex.org/I2800079252,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Clark,1,,https://openalex.org/A5031107879,A5031107879,,Jack Clark,"J. F. Clark, Jack Clark",20,8311,28.0,13,15,True,1,True,True,False,False,1,United States,University of Minnesota System,United States,,,,,,,,,,University of Minnesota System,https://openalex.org/I2800403580,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Clark,1,,https://openalex.org/A5067800460,A5067800460,,Jack Clark,Jack Clark,2,12,0.0,2,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Kernion,1,,https://openalex.org/A5057116059,A5057116059,,Jackson Kernion,Jackson Kernion,6,159,9.666666666666666,5,4,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Kerr,1,,https://openalex.org/A5081035645,A5081035645,,Jamie Kerr,"Jamie R. Kerr, Jamie Kerr",14,568,19.285714285714285,6,6,True,3,False,True,False,False,3,"Canada, United Kingdom, United States",University of Guelph,Canada,,,,,,,University of Guelph,https://openalex.org/I79817857,Canada,,,,,,,,,,,,,,,,,,,University of Aberdeen,https://openalex.org/I195460627,United Kingdom,University of Aberdeen,https://openalex.org/I195460627,United Kingdom,,,,,,,,,,,,,,,,,,,Catholic Family Center,https://openalex.org/I4210099742,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Brauner,1,,https://openalex.org/A5030437398,A5030437398,https://orcid.org/0000-0002-1588-5724,Jan Brauner,"Jan Markus Brauner, Jan Brauner, Jan M. Brauner, J. Brauner, Jan M. Brauner, Jan Markus Brauner",56,2652,5.65,18,29,True,9,False,True,False,False,4,"Canada, Germany, United Kingdom, United States",University of Oxford,United Kingdom,University of Oxford,https://openalex.org/I40120149,United Kingdom,RAND Corporation,https://openalex.org/I1309849503,United States,Mila - Quebec Artificial Intelligence Institute,https://openalex.org/I4210164802,Canada,Gemeinschaftskrankenhaus Herdecke,https://openalex.org/I4210146035,Germany,Witten/Herdecke University,https://openalex.org/I155976169,Germany,Oxford Research Group,https://openalex.org/I2802123492,United Kingdom,,,,Medical Mission Institute,https://openalex.org/I4210106937,Germany,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://openalex.org/I181369854,Germany,Universitätsklinikum Erlangen,https://openalex.org/I4210088053,Germany,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://openalex.org/I181369854,Germany,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://openalex.org/I181369854,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janel Thamkul,1,,https://openalex.org/A5092362960,A5092362960,,Janel Thamkul,Janel Thamkul,1,33,16.0,1,1,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Kaplan,8,,https://openalex.org/A5053213601,A5053213601,,Jared Kaplan,"Jared Kaplan, J. Kaplan, J. I. Kaplan",136,27175,24.727272727272727,48,84,True,3,True,True,False,False,1,United States,Johns Hopkins University,United States,,,,Johns Hopkins University,https://openalex.org/I145311948,United States,,,,University of New Hampshire,https://openalex.org/I161057412,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Stanford University,https://openalex.org/I97018004,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,Stanford University,https://openalex.org/I97018004,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Mueller,1,,https://openalex.org/A5070762421,A5070762421,,Jared Mueller,Jared Mueller,4,123,11.333333333333334,3,3,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Mu,1,,https://openalex.org/A5060578216,A5060578216,,Jesse Mu,Jesse Mu,35,367,2.4,11,11,True,2,True,True,False,False,1,United States,Stanford University,United States,,,,,,,,,,,,,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Boston College,https://openalex.org/I103531236,United States,,,,Boston College,https://openalex.org/I103531236,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jing Hong,1,,https://openalex.org/A5059202228,A5059202228,https://orcid.org/0000-0002-8079-2073,Jing Hong,"Hong Jing, J. Hong, Jerry Hong, Jyun‐Wei Hong, J.P. Hong, Jinzhu Hong, Jing Hong",227,1541,2.1904761904761907,21,47,True,6,False,False,False,True,2,"China, Japan",First Affiliated Hospital of Jinan University,China,First Affiliated Hospital of Jinan University,https://openalex.org/I4210162753,China,The University of Tokyo,https://openalex.org/I74801974,Japan,The University of Tokyo,https://openalex.org/I74801974,Japan,The University of Tokyo,https://openalex.org/I74801974,Japan,Peking University Third Hospital,https://openalex.org/I4210141942,China,Beijing Haidian Hospital,https://openalex.org/I4210161752,China,The University of Tokyo,https://openalex.org/I74801974,Japan,Ministry of Education of the People's Republic of China,https://openalex.org/I1327237609,China,Peking University Third Hospital,https://openalex.org/I4210141942,China,Peking University Third Hospital,https://openalex.org/I4210141942,China,,,,,,,,,,People's Hospital of Xinjiang Uygur Autonomous Region,https://openalex.org/I4210122141,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johannes Treutlein,1,,https://openalex.org/A5047456114,A5047456114,,Johannes Treutlein,Johannes Treutlein,18,25,0.5,3,0,True,3,False,False,False,False,2,"Canada, Germany",Vector Institute,Canada,,,,,,,,,,,,,Vector Institute,https://openalex.org/I4210127509,Canada,,,,,,,Verwaltungs-Berufsgenossenschaft,https://openalex.org/I4210114088,Germany,,,,,,,,,,,,,University Hospital Heidelberg,https://openalex.org/I2802164966,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
