Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,affiliation_data,unique_affiliation_count,all_usa,some_usa,all_china,some_china,unique_country_count,all_countries,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987
Dara Bahri,1,,https://openalex.org/A5036477705,A5036477705,https://orcid.org/0000-0003-0144-2911,Dara Bahri,"Dara Bahri, D. Bahri",57,2224,19.727272727272727,19,27,True,3,False,True,False,False,2,"Algeria, United States",Google (United States),United States,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Centre Universitaire de Mila,https://openalex.org/I4210155582,Algeria,Google (United States),https://openalex.org/I1291425158,United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Marwood,1,,https://openalex.org/A5073005062,A5073005062,,Dave Marwood,Dave Marwood,2,1,0.0,1,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Elson,1,,https://openalex.org/A5116014384,A5116014384,,David Elson,David Elson,1,0,0.0,0,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lindner,1,,https://openalex.org/A5059597480,A5059597480,https://orcid.org/0000-0001-7051-7433,David Lindner,"David Lindner, D. I. Manfred Lindner",42,144,5.166666666666667,5,3,True,2,False,False,False,False,2,"Germany, Switzerland",ETH Zurich,Switzerland,,,,,,,ETH Zurich,https://openalex.org/I35440088,Switzerland,,,,ETH Zurich,https://openalex.org/I35440088,Switzerland,,,,University of Cologne,https://openalex.org/I180923762,Germany,University of Cologne,https://openalex.org/I180923762,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar A. Duéñez‐Guzmán,1,,https://openalex.org/A5061221525,A5061221525,https://orcid.org/0000-0002-6212-9104,Edgar A. Duéñez‐Guzmán,"Edgar Duenez‐Guzman, Edgar A. Duèñez‐Guzmán, Edgar Dueñez‐Guzmán, Edgar A. Duenez‐Guzman, Edgar A. Duénez‐Guzmán, Edgar Alfredo Duenez‐Guzman, E. A. Duenez‐Guzman, Edgar Duèñez‐Guzmán, Edgar A. Duéñez‐Guzmán, Edgar Duéñez‐Guzmán, Edgar A. Duéñez Guzmán",63,1266,2.357142857142857,17,26,True,6,False,True,False,False,3,"Belgium, United Kingdom, United States",Google (United Kingdom),United Kingdom,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,,,,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,,,,KU Leuven,https://openalex.org/I99464096,Belgium,KU Leuven,https://openalex.org/I99464096,Belgium,KU Leuven,https://openalex.org/I99464096,Belgium,Harvard University,https://openalex.org/I136199984,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Harvard University,https://openalex.org/I136199984,United States,University of Tennessee at Knoxville,https://openalex.org/I75027704,United States,University of Tennessee at Knoxville,https://openalex.org/I75027704,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Piliouras,1,,https://openalex.org/A5079969658,A5079969658,https://orcid.org/0000-0002-6236-3566,Georgios Piliouras,Georgios Piliouras,302,2875,0.5531914893617021,29,76,True,9,False,True,False,False,3,"Singapore, United Kingdom, United States",Google (United States),United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,National University of Singapore,https://openalex.org/I165932596,Singapore,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore,Indiana University – Purdue University Indianapolis,https://openalex.org/I55769427,United States,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore,"University of California, Berkeley",https://openalex.org/I95457486,United States,California Institute of Technology,https://openalex.org/I122411786,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxing Han,1,,https://openalex.org/A5063732687,A5063732687,https://orcid.org/0000-0001-8307-8716,Guangxing Han,"Han Guangxing, Guangxing Han",28,507,20.0,9,9,True,3,False,True,False,True,2,"China, United States",Tsinghua University,China,,,,,,,Tsinghua University,https://openalex.org/I99065089,China,Columbia University,https://openalex.org/I78577930,United States,Columbia University,https://openalex.org/I78577930,United States,,,,North China University of Technology,https://openalex.org/I1456306,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Zhou,1,,https://openalex.org/A5056352820,A5056352820,https://orcid.org/0000-0003-3245-8481,Howard Zhou,"H Zhou, Henggang Zhou, Howard Zhou",27,1447,2.0,11,11,True,3,False,True,False,False,2,"Canada, United States",Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,University of British Columbia,https://openalex.org/I141945490,Canada,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,Georgia Institute of Technology,https://openalex.org/I130701444,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Fischer,1,,https://openalex.org/A5051461147,A5051461147,https://orcid.org/0000-0003-3886-5619,Ian Fischer,"Ian S. Fischer, I. S. Fischer, Ian Fischer",70,6417,4.6,25,31,True,4,True,True,False,False,1,United States,Google (United States),United States,,,,,,,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,"University of California, Berkeley",https://openalex.org/I95457486,United States,,,,,,,,,,,,,,,,Harvard University Press,https://openalex.org/I2801851002,United States,,,,,,,,,,,,,,,,New Jersey Institute of Technology,https://openalex.org/I118118575,United States,,,,,,,,,,,,,,,,New Jersey Institute of Technology,https://openalex.org/I118118575,United States,,,,,,,,,
Ian Goodfellow,1,,https://openalex.org/A5004271128,A5004271128,https://orcid.org/0000-0003-3937-2322,Ian Goodfellow,"Ian J. Goodfellow, Ian Goodfellow",139,99999,0.0,77,116,True,4,False,True,False,False,4,"Canada, Germany, Japan, United States",Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,Apple (Germany),https://openalex.org/I4210141230,Germany,NTT (Japan),https://openalex.org/I2251713219,Japan,Microsoft (Canada),https://openalex.org/I4210153468,Canada,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Alabdulmohsin,1,,https://openalex.org/A5029133361,A5029133361,https://orcid.org/0000-0002-9387-5820,Ibrahim Alabdulmohsin,"Ibrahim Alabdulmohsin, Ibrahim M. Alabdulmohsin, Ibrahim Mansour Alabdulmohsin",67,439,9.0,11,16,True,5,False,True,False,False,4,"Germany, Saudi Arabia, Switzerland, United States",Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Brain (Germany),https://openalex.org/I4210113520,Germany,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (Switzerland),https://openalex.org/I4210100430,Switzerland,Saudi Aramco (Saudi Arabia),https://openalex.org/I4210143841,Saudi Arabia,King Abdullah University of Science and Technology,https://openalex.org/I71920554,Saudi Arabia,King Abdullah University of Science and Technology,https://openalex.org/I71920554,Saudi Arabia,King Abdullah University of Science and Technology,https://openalex.org/I71920554,Saudi Arabia,King Abdullah University of Science and Technology,https://openalex.org/I71920554,Saudi Arabia,King Abdullah University of Science and Technology,https://openalex.org/I71920554,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iyad Rahwan,1,,https://openalex.org/A5009232244,A5009232244,https://orcid.org/0000-0002-1796-4303,Iyad Rahwan,"I. Rahwan, Iyad Rahwan",340,14168,4.913043478260869,49,143,True,6,False,True,False,False,3,"Germany, United Kingdom, United States",Max Planck Institute for Human Development,Germany,Max Planck Institute for Human Development,https://openalex.org/I4210120221,Germany,Max Planck Society,https://openalex.org/I149899117,Germany,Max Planck Society,https://openalex.org/I149899117,Germany,University of Exeter,https://openalex.org/I23923803,United Kingdom,Human Media,https://openalex.org/I4210142372,United States,Southern Methodist University,https://openalex.org/I178169726,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Human Media,https://openalex.org/I4210142372,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Human Media,https://openalex.org/I4210142372,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Dlabal,1,,https://openalex.org/A5032570936,A5032570936,,Jan Dlabal,Jan Dlabal,6,23,0.0,2,1,True,1,True,True,False,False,1,United States,Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jed R. Brubaker,1,,https://openalex.org/A5084740625,A5084740625,https://orcid.org/0000-0003-4826-8324,Jed R. Brubaker,"Jed Brubaker, Jed Richards Brubaker, Jed R. Brubaker, J.R. Brubaker, J Brubaker",108,4394,7.125,32,61,True,7,False,True,False,False,2,"United Kingdom, United States",University of Colorado Boulder,United States,University of Colorado Boulder,https://openalex.org/I188538660,United States,University of Colorado System,https://openalex.org/I2802236040,United States,University of Colorado Boulder,https://openalex.org/I188538660,United States,University of Colorado Boulder,https://openalex.org/I188538660,United States,"University of California, Irvine",https://openalex.org/I204250578,United States,University of Colorado System,https://openalex.org/I2802236040,United States,University of Colorado System,https://openalex.org/I2802236040,United States,University of Colorado System,https://openalex.org/I2802236040,United States,University of Colorado Boulder,https://openalex.org/I188538660,United States,Meta (United States),https://openalex.org/I4210114444,United States,"University of California, Irvine",https://openalex.org/I204250578,United States,"University of California, Irvine",https://openalex.org/I204250578,United States,Drug Enforcement Administration,https://openalex.org/I1323015784,United States,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,United Kingdom,"University of California, Irvine",https://openalex.org/I204250578,United States,,,,,,,,,,University of Utah,https://openalex.org/I223532165,United States,,,,,,,University of Utah,https://openalex.org/I223532165,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaxing Wu,1,,https://openalex.org/A5101996381,A5101996381,https://orcid.org/0000-0002-7430-4651,Jiaxing Wu,"J.X. Wu, Jiarou Wu, Junling Wu, Jiaxing Wu",18,106,1.0,6,3,True,5,False,False,True,True,1,China,Chongqing University of Posts and Telecommunications,China,,,,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,China,,,,Southwest University,https://openalex.org/I142108993,China,Donghua University,https://openalex.org/I181326427,China,Donghua University,https://openalex.org/I181326427,China,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,China,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,China,,,,,,,,,,,,,Nanjing University of Posts and Telecommunications,https://openalex.org/I41198531,China,,,,,,,,,,,,,,,,Wuhan University,https://openalex.org/I37461747,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Z. Leibo,1,,https://openalex.org/A5054808675,A5054808675,https://orcid.org/0000-0002-3153-916X,Joel Z. Leibo,"Joel Z. Leibo, Joel Leibo, Joel Zaidspiner Leibo, JZ Leibo, JZL",188,8503,4.0344827586206895,41,79,True,6,False,True,False,False,2,"United Kingdom, United States",Google (United States),United States,Google (United States),https://openalex.org/I1291425158,United States,King's College London,https://openalex.org/I183935753,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Google (United States),https://openalex.org/I1291425158,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,Institute of Cognitive and Brain Sciences,https://openalex.org/I4210104429,United States,McGovern Institute for Brain Research,https://openalex.org/I144112489,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Agapiou,1,,https://openalex.org/A5017056095,A5017056095,https://orcid.org/0000-0003-2642-2845,John Agapiou,"J. Agapiou, John Agapiou, J. P. Agapiou, John P. Agapiou",40,6828,1.7142857142857142,14,19,True,7,False,True,False,False,3,"Poland, United Kingdom, United States",General Motors (United States),United States,,,,General Motors (United States),https://openalex.org/I118136607,United States,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,General Motors (United States),https://openalex.org/I118136607,United States,Ford Motor Company (United States),https://openalex.org/I1292974536,United States,,,,,,,General Motors (United States),https://openalex.org/I118136607,United States,General Motors (United States),https://openalex.org/I118136607,United States,,,,General Motors (United States),https://openalex.org/I118136607,United States,Rockefeller University,https://openalex.org/I83399316,United States,University College London,https://openalex.org/I45129253,United Kingdom,,,,,,,General Motors (Poland),https://openalex.org/I4210135317,Poland,,,,,,,,,,,,,General Motors (Poland),https://openalex.org/I4210135317,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,
