Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985
Yao Li,A5110237033,11,Intelligent Health (United Kingdom),https://openalex.org/I4210153682,Taiyuan University of Science and Technology,https://openalex.org/I46305995,Heilongjiang Institute of Technology,https://openalex.org/I4210161462,Harbin Institute of Technology,https://openalex.org/I204983213,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Harbin Institute of Technology,https://openalex.org/I204983213,Harbin Institute of Technology,https://openalex.org/I204983213,Shandong University of Science and Technology,https://openalex.org/I80143920,China National Petroleum Corporation (China),https://openalex.org/I98227222,Harbin Institute of Technology,https://openalex.org/I204983213,"University of Maryland, Baltimore County",https://openalex.org/I79272384,Lanzhou University,https://openalex.org/I76214153,Harbin Institute of Technology,https://openalex.org/I204983213,,,Harbin Institute of Technology,https://openalex.org/I204983213,Harbin Institute of Technology,https://openalex.org/I204983213,Harbin Institute of Technology,https://openalex.org/I204983213,Hebei University of Architecture,https://openalex.org/I4210161087,,,Harbin Institute of Technology,https://openalex.org/I204983213,Hebei University of Architecture,https://openalex.org/I4210161087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City College,https://openalex.org/I4210093530,,,,,,,,,,
Zhenda Xie,A5007043113,4,,,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Tsinghua University,https://openalex.org/I99065089,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,University of South China,https://openalex.org/I91935597,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junxiao Song,A5008686458,4,,,,,,,Qingdao University,https://openalex.org/I108688024,,,,,,,,,,,,,Hong Kong University of Science and Technology,https://openalex.org/I200769079,University of Hong Kong,https://openalex.org/I889458895,Hong Kong University of Science and Technology,https://openalex.org/I200769079,Hong Kong University of Science and Technology,https://openalex.org/I200769079,,,,,,,,,,,,,Korea Aerospace University,https://openalex.org/I24456540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenfeng Liang,A5009435651,6,,,Shenyang Jianzhu University,https://openalex.org/I83714178,Guangzhou Medical University,https://openalex.org/I92039509,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,Goodyear (United States),https://openalex.org/I4210143271,Shenyang Jianzhu University,https://openalex.org/I83714178,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Institute of Electrical Engineering,https://openalex.org/I4210128819,Institute of Electrical Engineering,https://openalex.org/I4210128819,Institute of Electrical Engineering,https://openalex.org/I4210128819,,,,,,,,,,,,,,,,,,,,,,,North Carolina State University,https://openalex.org/I137902535,North Carolina State University,https://openalex.org/I137902535,North Carolina State University,https://openalex.org/I137902535,North Carolina State University,https://openalex.org/I137902535,,,,,,,,,,,,,,
Jiashi Li,A5014851555,8,Taiyuan University of Technology,https://openalex.org/I9086337,Taiyuan University of Technology,https://openalex.org/I9086337,Taiyuan University of Technology,https://openalex.org/I9086337,Taiyuan University of Technology,https://openalex.org/I9086337,Taiyuan University of Technology,https://openalex.org/I9086337,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,,,Shanxi University,https://openalex.org/I181877577,,,,,,,,,,,,,,,,,Yankton Rural Area Health Education Center,https://openalex.org/I4210146872,East China University of Science and Technology,https://openalex.org/I143593769,,,,,,,,,,,,,,,Beijing University of Chinese Medicine,https://openalex.org/I17747738,Hoshi University,https://openalex.org/I36296616,Hoshi University,https://openalex.org/I36296616,,,Beijing Hospital of Traditional Chinese Medicine,https://openalex.org/I4210148966,,,,,,,,,,,,,,,,,,,,,,
Kang Guan,A5017301651,7,South China University of Technology,https://openalex.org/I90610280,China National Petroleum Corporation (China),https://openalex.org/I98227222,China National Petroleum Corporation (China),https://openalex.org/I98227222,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,Yunnan University of Traditional Chinese Medicine,https://openalex.org/I46975222,Northwestern Polytechnical University,https://openalex.org/I17145004,China National Petroleum Corporation (China),https://openalex.org/I98227222,Northwestern Polytechnical University,https://openalex.org/I17145004,Northwestern Polytechnical University,https://openalex.org/I17145004,,,,,,,,,,,,,,,Tianjin Academy of Environmental Sciences,https://openalex.org/I4210149704,,,,,,,Tianjin Academy of Environmental Sciences,https://openalex.org/I4210149704,,,,,,,,,,,Kunming Institute of Botany,https://openalex.org/I13850615,,,Institute of Metals Research,https://openalex.org/I4210126304,,,Institute of Metals Research,https://openalex.org/I4210126304,,,,
Yukun Li,A5018379530,1,,,Xinjiang University,https://openalex.org/I96908189,Xinjiang University,https://openalex.org/I96908189,Xinjiang University,https://openalex.org/I96908189,,,,,,,,,Xinjiang University,https://openalex.org/I96908189,Xinjiang University,https://openalex.org/I96908189,,,Xinjiang University,https://openalex.org/I96908189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chong Ruan,A5019374810,1,,,,,,,Chang'an University,https://openalex.org/I25355098,Chang'an University,https://openalex.org/I25355098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damai Dai,A5020456783,4,,,Peking University,https://openalex.org/I20231570,,,Tsinghua University,https://openalex.org/I99065089,Microsoft Research (India),https://openalex.org/I4210124949,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peng Cheng Laboratory,https://openalex.org/I4210136793,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runxin Xu,A5023594937,4,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,Imperial College London,https://openalex.org/I47508984,Peking University,https://openalex.org/I20231570,Imperial College London,https://openalex.org/I47508984,Peking University,https://openalex.org/I20231570,The Ohio State University,https://openalex.org/I52357470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
