Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1982,ID-1982,affiliation-1978,ID-1978,affiliation-1975,ID-1975,affiliation-1971,ID-1971,affiliation-1970,ID-1970
Hao-Tsung Yang,A5060610248,7,,,National University of Malaysia,https://openalex.org/I885383172,Southwest Jiaotong University,https://openalex.org/I4800084,National Central University,https://openalex.org/I22265921,University of Edinburgh,https://openalex.org/I98677209,Stony Brook University,https://openalex.org/I59553526,,,Stony Brook University,https://openalex.org/I59553526,,,Stony Brook University,https://openalex.org/I59553526,The Engineering & Technical College of Chengdu University of Technology,https://openalex.org/I4403386537,Academia Sinica,https://openalex.org/I84653119,,,Southwest Jiaotong University,https://openalex.org/I4800084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haobing Zhan,A5124887653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haoning Wu,A5039135087,3,Nanyang Technological University,https://openalex.org/I172675005,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shandong Jiaotong University,https://openalex.org/I4210099312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haotian Yao,A5071838616,5,Guangxi University,https://openalex.org/I150807315,Burnaby Hospital,https://openalex.org/I2802647910,Sichuan University,https://openalex.org/I24185976,Sichuan University,https://openalex.org/I24185976,Sichuan University,https://openalex.org/I24185976,Beihang University,https://openalex.org/I82880672,Chengdu University,https://openalex.org/I4210125143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haoyang Li,A5124917712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haoyu Lu,A5110986785,3,,,Hebei GEO University,https://openalex.org/I95946905,Shandong First Medical University,https://openalex.org/I4210163399,Hebei GEO University,https://openalex.org/I95946905,,,,,,,,,,,,,Southeast University,https://openalex.org/I76569877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haoze Li,A5008912573,7,,,Taiyuan University of Technology,https://openalex.org/I9086337,China University of Mining and Technology,https://openalex.org/I25757504,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Suzhou University of Science and Technology,https://openalex.org/I308837,China University of Mining and Technology,https://openalex.org/I25757504,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I4210156571,,,Heilongjiang University,https://openalex.org/I55022517,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haozhen Yu,A5022218311,2,,,Air Force Medical University,https://openalex.org/I9916479,,,Shaanxi University of Chinese Medicine,https://openalex.org/I75920027,Shaanxi University of Chinese Medicine,https://openalex.org/I75920027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heng Wang,A5100453945,6,,,Guilin University of Electronic Technology,https://openalex.org/I5343935,Guilin University of Electronic Technology,https://openalex.org/I5343935,Guilin University of Technology,https://openalex.org/I38706770,Guilin University of Technology,https://openalex.org/I38706770,Changzhou University,https://openalex.org/I4210153482,Guilin University of Technology,https://openalex.org/I38706770,Guilin University of Technology,https://openalex.org/I38706770,Guilin University of Technology,https://openalex.org/I38706770,Delft University of Technology,https://openalex.org/I98358874,Jiangsu University of Technology,https://openalex.org/I4210144214,Jiangsu University of Technology,https://openalex.org/I4210144214,Fujian Institute of Research on the Structure of Matter,https://openalex.org/I4210119098,Jiangsu University of Technology,https://openalex.org/I4210144214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hengzhi Wang,A5124874005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heyi Tang,A5124949263,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongcheng Gao,A5110370692,10,,,,,Anqing Normal University,https://openalex.org/I46482218,,,Tsinghua University,https://openalex.org/I99065089,,,Qingdao University,https://openalex.org/I108688024,South China University of Technology,https://openalex.org/I90610280,Northeastern University,https://openalex.org/I9224756,,,,,,,,,,,,,,,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Shanghai FRP Research Institute (China),https://openalex.org/I4210099211,Beijing National Laboratory for Molecular Sciences,https://openalex.org/I4210116048,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,University of Hong Kong,https://openalex.org/I889458895,State Key Laboratory of Rare Earth Materials Chemistry and Application,https://openalex.org/I4391768055,,,,,,,,,,,Peking University,https://openalex.org/I20231570,,,Peking University,https://openalex.org/I20231570,,,,,,,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,
Hongjin Su,A5019018962,2,,,,,,,University of Hong Kong,https://openalex.org/I889458895,,,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/I4210116924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongzhang Liu,A5091109818,1,,,,,,,,,,,China Geological Survey,https://openalex.org/I2799486974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoon-Churl Kang,A5083539676,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inje University,https://openalex.org/I104338594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huabin Zheng,A5111649512,1,,,,,,,,,Wuhan Institute of Virology,https://openalex.org/I4210106882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajian Xin,A5111038333,2,Southeast University,https://openalex.org/I76569877,,,Guangxi Research Institute of Chemical Industry,https://openalex.org/I4210143029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huan Yuan,A5035054412,1,,,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,,,,,,,,,,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huarong Chen,A5124893581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hui Wang,A5124903096,1,Monash University,https://openalex.org/I56590836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huiqun Hao,A5053106097,3,,,,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,Computer Network Information Center,https://openalex.org/I4210108629,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Computer Network Information Center,https://openalex.org/I4210108629,,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,Institute of Modern Physics,https://openalex.org/I4210131271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. -Z. Zhuang,A5074311785,1,,,Tsinghua University,https://openalex.org/I99065089,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Chen,A5113207328,12,,,Jianghan University,https://openalex.org/I31590910,Northeast Agricultural University,https://openalex.org/I169572211,,,China Southern Power Grid (China),https://openalex.org/I74872605,,,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Children's Hospital,https://openalex.org/I4210159420,Shanghai Jiao Tong University,https://openalex.org/I183067930,Zhejiang A & F University,https://openalex.org/I1284762954,Nanjing Agricultural University,https://openalex.org/I119454577,China National Bamboo Research Center,https://openalex.org/I4210113111,Nanjing Agricultural University,https://openalex.org/I119454577,Shanghai Ninth People's Hospital,https://openalex.org/I4210097066,Nanjing Agricultural University,https://openalex.org/I119454577,,,Sichuan University,https://openalex.org/I24185976,,,Nanjing Agricultural University,https://openalex.org/I119454577,Shandong Normal University,https://openalex.org/I28006308,,,,,,,Nanjing Agricultural University,https://openalex.org/I119454577,,,,,,,,,,,,,,,,,,,,,"University of California, Davis",https://openalex.org/I84218800,,,,,,,,,,,,,,,,,,,,,,,,
J. Zhao,A5070851446,23,Air Force Medical University,https://openalex.org/I9916479,University of South China,https://openalex.org/I91935597,Tsinghua University,https://openalex.org/I99065089,Southeast University,https://openalex.org/I76569877,National Cheng Kung University,https://openalex.org/I91807558,National Cheng Kung University,https://openalex.org/I91807558,National Cheng Kung University,https://openalex.org/I91807558,Chongqing Medical University,https://openalex.org/I87780372,Xiamen University of Technology,https://openalex.org/I75867142,Shandong Agricultural University,https://openalex.org/I74485261,Air Force Medical University,https://openalex.org/I9916479,Shandong Agricultural University,https://openalex.org/I74485261,Nanjing University,https://openalex.org/I881766915,Xi'an Jiaotong University,https://openalex.org/I87445476,Nanjing University,https://openalex.org/I881766915,University of Rajasthan,https://openalex.org/I99552915,Laboratoire de Chimie-Physique Macromoléculaire,https://openalex.org/I4387153284,Zhejiang University,https://openalex.org/I76130692,Tsinghua University,https://openalex.org/I99065089,Shijiazhuang Tiedao University,https://openalex.org/I90090648,University of Birmingham,https://openalex.org/I79619799,University of Science and Technology of China,https://openalex.org/I126520041,Hungarian Academy of Sciences,https://openalex.org/I7597260,University of Birmingham,https://openalex.org/I79619799,Huazhong Agricultural University,https://openalex.org/I204823248,University of Basel,https://openalex.org/I1850255,Boston University,https://openalex.org/I111088046,Thomas Jefferson National Accelerator Facility,https://openalex.org/I29801172,University of Manitoba,https://openalex.org/I46247651,Loughborough University,https://openalex.org/I143804889,University of Science and Technology of China,https://openalex.org/I126520041,University of Manitoba,https://openalex.org/I46247651,,,University of Manitoba,https://openalex.org/I46247651,,,University of Manitoba,https://openalex.org/I46247651,Loughborough University,https://openalex.org/I143804889,,,,,,,,,,,,,,,,,,,,,,
Jia Chen,A5100416018,12,,,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Sichuan University of Science and Engineering,https://openalex.org/I64852412,Beijing Jiaotong University,https://openalex.org/I21193070,Inner Mongolia Electric Power (China),https://openalex.org/I4210088511,University of York,https://openalex.org/I52099693,Shandong University of Science and Technology,https://openalex.org/I80143920,Carnegie Mellon University,https://openalex.org/I74973139,Shandong University of Science and Technology,https://openalex.org/I80143920,Beijing Jiaotong University,https://openalex.org/I21193070,Puyang Vocational and Technical College,https://openalex.org/I4210164787,Dalian Maritime University,https://openalex.org/I43313876,Wuhan Textile University,https://openalex.org/I4210119942,Dalian Maritime University,https://openalex.org/I43313876,Dalian Maritime University,https://openalex.org/I43313876,Dalian Maritime University,https://openalex.org/I43313876,University College London,https://openalex.org/I45129253,,,University College London,https://openalex.org/I45129253,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,George Mason University,https://openalex.org/I162714631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia Li,A5124899728,1,ENN (China),https://openalex.org/I4210100528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiahao Chen,A5124921997,1,Renmin University of China,https://openalex.org/I78988378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiahao Wang,A5124896701,1,University of Shanghai for Science and Technology,https://openalex.org/I148128674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jialei Cui,A5124942075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaming Li,A5100326742,6,,,Northwest Normal University,https://openalex.org/I68986083,Institute of Geographic Sciences and Natural Resources Research,https://openalex.org/I4210160793,Northwest Normal University,https://openalex.org/I68986083,Data61,https://openalex.org/I42894916,Southeast University,https://openalex.org/I76569877,Institute of Geographic Sciences and Natural Resources Research,https://openalex.org/I4210160793,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Institute of Geographic Sciences and Natural Resources Research,https://openalex.org/I4210160793,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,Chongqing University,https://openalex.org/I158842170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianfan Xu,A5124919053,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianhang Guo,A5041543400,4,,,,,National Engineering Research Center for Wheat,https://openalex.org/I4210115332,Zhengzhou University of Light Industry,https://openalex.org/I23171815,Zhengzhou University of Light Industry,https://openalex.org/I23171815,Sun Yat-sen University,https://openalex.org/I157773358,,,Sun Yat-sen University,https://openalex.org/I157773358,,,,,South China Agricultural University,https://openalex.org/I101479585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianlin Su,A5078222384,5,Southeast University,https://openalex.org/I76569877,Southeast University,https://openalex.org/I76569877,Putian University,https://openalex.org/I64449678,,,,,Shanghai Huayi Group (China),https://openalex.org/I4210144436,Shanghai Huayi Group (China),https://openalex.org/I4210144436,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academia Sinica,https://openalex.org/I84653119,,,,,,,,,,,,,,,,,,,,,,,,
Jianlong Chen,A5124936695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiannan Xiang,A5100562747,1,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianzhou Wang,A5044720245,14,,,Tianshui Normal University,https://openalex.org/I4210163834,Xi'an Jiaotong University,https://openalex.org/I87445476,Lanzhou University,https://openalex.org/I76214153,Xi'an Jiaotong University,https://openalex.org/I87445476,Hunan Provincial People's Hospital,https://openalex.org/I4210147389,Hunan Provincial People's Hospital,https://openalex.org/I4210147389,Lanzhou University,https://openalex.org/I76214153,Yan'an Hospital Affiliated To Kunming Medical University,https://openalex.org/I4210146235,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Dongbei University of Finance and Economics,https://openalex.org/I130480701,Lanzhou University,https://openalex.org/I76214153,,,Shanghai Institute of Optics and Fine Mechanics,https://openalex.org/I4210135349,Lanzhou University,https://openalex.org/I76214153,Lanzhou University,https://openalex.org/I76214153,University of Oklahoma,https://openalex.org/I8692664,Lanzhou University,https://openalex.org/I76214153,Ochsner Health System,https://openalex.org/I1336053918,Ochsner Medical Center,https://openalex.org/I2799767083,University of Oklahoma,https://openalex.org/I8692664,University of Oklahoma Health Sciences Center,https://openalex.org/I49332381,University of Oklahoma Health Sciences Center,https://openalex.org/I49332381,University of Oklahoma,https://openalex.org/I8692664,Children's Hospital of Pittsburgh,https://openalex.org/I4210130600,University of Pittsburgh Medical Center,https://openalex.org/I4210134769,,,University of Pittsburgh,https://openalex.org/I170201317,,,,,University of Pittsburgh,https://openalex.org/I170201317,,,University of Pittsburgh,https://openalex.org/I170201317,University of Pittsburgh,https://openalex.org/I170201317,University of Pittsburgh,https://openalex.org/I170201317,,,,,,,,,,,,,,,,,,,,,,,,
Jiaqi Deng,A5062194013,6,,,University of Edinburgh,https://openalex.org/I98677209,Renmin University of China,https://openalex.org/I78988378,Renmin University of China,https://openalex.org/I78988378,UCSI University,https://openalex.org/I55285296,,,Affiliated Hospital of Southwest Medical University,https://openalex.org/I4210086248,Affiliated Hospital of Southwest Medical University,https://openalex.org/I4210086248,Southwest Medical University,https://openalex.org/I3017480383,Southwest Medical University,https://openalex.org/I3017480383,Southwest Medical University,https://openalex.org/I3017480383,,,Tongji Hospital,https://openalex.org/I4210160344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiawei Lin,A5124917687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiawen Tao,A5123897371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaxi Hu,A5100953811,3,,,,,Beijing Institute of Nanoenergy and Nanosystems,https://openalex.org/I4210133436,Guangxi University,https://openalex.org/I150807315,,,Army Medical University,https://openalex.org/I151075929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiezhong Qiu,A5083333630,3,,,Hangzhou Academy of Agricultural Sciences,https://openalex.org/I4210123679,Zhejiang University,https://openalex.org/I76130692,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Xie,A5035415865,4,,,Hunan Academy of Traditional Chinese Medicine,https://openalex.org/I4210122600,Guangxi Academy of Sciences,https://openalex.org/I4210165264,The Ohio State University,https://openalex.org/I52357470,,,Guangxi Academy of Sciences,https://openalex.org/I4210165264,Guangxi University,https://openalex.org/I150807315,Guangxi University,https://openalex.org/I150807315,Guangxi University,https://openalex.org/I150807315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Zhang,A5050008040,18,Chongqing Cancer Hospital,https://openalex.org/I4210154480,First Affiliated Hospital of Hebei Medical University,https://openalex.org/I4210157729,China Medical University,https://openalex.org/I91656880,Alvin J. Siteman Cancer Center,https://openalex.org/I4390039355,"University of California, Davis",https://openalex.org/I84218800,Tsinghua University,https://openalex.org/I99065089,Dalian Naval Academy,https://openalex.org/I4401200389,China Medical University,https://openalex.org/I91656880,Air Force Medical University,https://openalex.org/I9916479,Zhejiang University,https://openalex.org/I76130692,Alvin J. Siteman Cancer Center,https://openalex.org/I4390039355,Institute of Medical Sciences,https://openalex.org/I51317819,Eastern Hepatobiliary Surgery Hospital,https://openalex.org/I4210137389,Nanjing University,https://openalex.org/I881766915,Air Force Medical University,https://openalex.org/I9916479,Zhongnan Hospital of Wuhan University,https://openalex.org/I4210120234,Nanjing Medical University,https://openalex.org/I83519826,Ningxia Medical University,https://openalex.org/I4210127460,Fourth Affiliated Hospital of China Medical University,https://openalex.org/I4210099028,"University of California, Davis",https://openalex.org/I84218800,,,Yale University,https://openalex.org/I32971472,,,University of Bologna,https://openalex.org/I9360294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinguo Zhu,A5124907406,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei Li,A5124917492,1,University of Bayreuth,https://openalex.org/I54009628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinhong Wang,A5100775334,10,,,BGI Research,https://openalex.org/I4387153646,Heilongjiang Provincial Hospital,https://openalex.org/I4210130714,Jiangxi Normal University,https://openalex.org/I53592917,Cancer Research UK Cambridge Center,https://openalex.org/I4210089382,Shaoguan University,https://openalex.org/I3130751423,Jiangxi Normal University,https://openalex.org/I53592917,Jiangxi Normal University,https://openalex.org/I53592917,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,,,University of Cambridge,https://openalex.org/I241749,Institute of Hematology & Blood Diseases Hospital,https://openalex.org/I4210147887,University of Cambridge,https://openalex.org/I241749,,,,,,,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,Sichuan University,https://openalex.org/I24185976,West China Medical Center of Sichuan University,https://openalex.org/I2800091995,Nankai University,https://openalex.org/I205237279,Nankai University,https://openalex.org/I205237279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjing Xu,A5124936200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinsong Sun,A5100974367,7,Hebei University,https://openalex.org/I43337087,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,Tianjin University,https://openalex.org/I162868743,,,Tianjin Medical University,https://openalex.org/I5740404,,,Health Commission of Anhui Province,https://openalex.org/I4210102046,,,,,,,China University of Geosciences,https://openalex.org/I3124059619,,,,,,,,,Shandong University,https://openalex.org/I154099455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinxiang Zhao,A5072286246,2,,,Renmin University of China,https://openalex.org/I78988378,,,,,Hebei Academy of Sciences,https://openalex.org/I4210147114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiuzheng Wang,A5124905993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanfeng Shi,A5124952258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun Chen,A5124938835,1,Zhejiang University,https://openalex.org/I76130692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junfeng Zhong,A5124899870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junjie Yan,A5028565054,6,,,Guangdong University of Technology,https://openalex.org/I139024713,Fudan University,https://openalex.org/I24943067,,,,,,,,,,,Jinan University,https://openalex.org/I159948400,,,University of Science and Technology of China,https://openalex.org/I126520041,,,,,,,,,State Key Laboratory of Industrial Control Technology,https://openalex.org/I4391767838,,,,,,,Memorial University of Newfoundland,https://openalex.org/I130438778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
