Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1997,ID-1997,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1989,ID-1989
Wentao Zhang,A5008772211,6,Peking University,https://openalex.org/I20231570,National Clinical Research Center for Digestive Diseases,https://openalex.org/I4210089514,Lenovo (China),https://openalex.org/I4210156165,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Beijing Institute of Big Data Research,https://openalex.org/I4210096250,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,,,,,Peking University,https://openalex.org/I20231570,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,Peking Union Medical College Hospital,https://openalex.org/I2801228662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yao Zhao,A5009318707,6,,,Peking University,https://openalex.org/I20231570,Dalian University of Technology,https://openalex.org/I27357992,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Beijing Aerospace Flight Control Center,https://openalex.org/I4210166468,Shanghai Ocean University,https://openalex.org/I44675526,,,,,,,,,,,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,,,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,,,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,https://openalex.org/I21193070,,,,,,,Beijing Jiaotong University,https://openalex.org/I21193070,,,,,,,,,,,,,,
Aixin Liu,A5015078816,6,Lu'an First People's Hospital,https://openalex.org/I4210167213,Anhui University,https://openalex.org/I143868143,Shanghai Jiao Tong University,https://openalex.org/I183067930,University of Jinan,https://openalex.org/I34949971,,,Shandong Agricultural University,https://openalex.org/I74485261,Shandong Agricultural University,https://openalex.org/I74485261,Mississippi State University,https://openalex.org/I99041443,Shandong Agricultural University,https://openalex.org/I74485261,,,Shandong Agricultural University,https://openalex.org/I74485261,Shandong Agricultural University,https://openalex.org/I74485261,Shandong Agricultural University,https://openalex.org/I74485261,,,Mississippi State University,https://openalex.org/I99041443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhangli Sha,A5020140830,1,,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runxin Xu,A5023594937,3,,,Imperial College London,https://openalex.org/I47508984,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiliang Xiong,A5028899653,1,,,,,,,Beijing University of Chinese Medicine,https://openalex.org/I17747738,,,Beijing University of Chinese Medicine,https://openalex.org/I17747738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruiqi Ge,A5029083198,4,,,Boston Children's Hospital,https://openalex.org/I1288882113,Wuhan University,https://openalex.org/I37461747,New York University Shanghai,https://openalex.org/I258800397,Guangxi University,https://openalex.org/I150807315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shangyan Zhou,A5035849215,1,,,,,,,,,,,,,,,,,,,Capital Medical University,https://openalex.org/I183519381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shunfeng Zhou,A5045996355,2,,,,,,,,,,,,,,,,,Soochow University,https://openalex.org/I3923682,First Affiliated Hospital of Soochow University,https://openalex.org/I4210153519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanhuang Chen,A5046105992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wangding Zeng,A5049532529,1,,,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,,,,,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panpan Huang,A5053679681,1,,,,,,,,,,,,,,,,,Purdue University West Lafayette,https://openalex.org/I219193219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangbo Hao,A5064813063,8,,,National University of Ireland,https://openalex.org/I181231927,National University of Ireland,https://openalex.org/I181231927,Shenyang Institute of Automation,https://openalex.org/I142078773,University College Cork,https://openalex.org/I27577105,University College Dublin,https://openalex.org/I100930933,Chinese Academy of Sciences,https://openalex.org/I19820366,University College Cork,https://openalex.org/I27577105,Chongqing University,https://openalex.org/I158842170,University College Cork,https://openalex.org/I27577105,University College Cork,https://openalex.org/I27577105,National University of Ireland,https://openalex.org/I181231927,,,,,Heriot-Watt University,https://openalex.org/I32062511,Heriot-Watt University,https://openalex.org/I32062511,Heriot-Watt University,https://openalex.org/I32062511,Universidad del Noreste,https://openalex.org/I87182695,,,,,,,,,,,,,,,,,,,,,,,,,,
Hui Qu,A5067552573,6,Tianjin University of Traditional Chinese Medicine,https://openalex.org/I12411659,Hengyang Academy of Agricultural Sciences,https://openalex.org/I4210151926,Shanghai Institute of Materia Medica,https://openalex.org/I4210112820,Shanghai Institute of Materia Medica,https://openalex.org/I4210112820,Shanghai Institute of Materia Medica,https://openalex.org/I4210112820,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,National Marine Data and Information Service,https://openalex.org/I4400573293,Chinese Academy of Sciences,https://openalex.org/I19820366,Chinese Academy of Sciences,https://openalex.org/I19820366,,,Chinese Academy of Sciences,https://openalex.org/I19820366,Chinese Academy of Sciences,https://openalex.org/I19820366,Chinese Academy of Sciences,https://openalex.org/I19820366,National Marine Data and Information Service,https://openalex.org/I4400573293,Yantai University,https://openalex.org/I18452120,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecong Zhang,A5068839714,1,,,,,Guizhou Minzu University,https://openalex.org/I4210095439,Guizhou Minzu University,https://openalex.org/I4210095439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. K. Li,A5079729956,2,,,Baidu (China),https://openalex.org/I98301712,,,Lanzhou Jiaotong University,https://openalex.org/I3133134087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mingchuan Zhang,A5087014857,7,Luoyang Institute of Science and Technology,https://openalex.org/I72565114,Fudan University,https://openalex.org/I24943067,Shanghai Jiao Tong University,https://openalex.org/I183067930,Tianjin Polytechnic University,https://openalex.org/I198091727,Zhejiang University of Technology,https://openalex.org/I55712492,Shanghai Jiao Tong University,https://openalex.org/I183067930,Henan University of Science and Technology,https://openalex.org/I167383011,Tianjin Polytechnic University,https://openalex.org/I198091727,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,https://openalex.org/I21193070,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wen Liu,A5100320278,4,,,Liaoning University,https://openalex.org/I118803816,Lamar University,https://openalex.org/I177898655,,,ShanghaiTech University,https://openalex.org/I30809798,Lamar University,https://openalex.org/I177898655,ShanghaiTech University,https://openalex.org/I30809798,Lamar University,https://openalex.org/I177898655,ShanghaiTech University,https://openalex.org/I30809798,Chiba University,https://openalex.org/I159385669,,,,,Chiba University,https://openalex.org/I159385669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaodong Liu,A5100374771,5,,,Chongqing University of Technology,https://openalex.org/I50632499,FuelCell Energy (United States),https://openalex.org/I4210122937,"Hunan University of Humanities, Science and Technology",https://openalex.org/I257545875,"Hunan University of Humanities, Science and Technology",https://openalex.org/I257545875,Dalian University,https://openalex.org/I4210092944,"Hunan University of Humanities, Science and Technology",https://openalex.org/I257545875,Dalian University,https://openalex.org/I4210092944,Dalian University,https://openalex.org/I4210092944,Dalian University,https://openalex.org/I4210092944,Dalian University of Technology,https://openalex.org/I27357992,,,Dalian University,https://openalex.org/I4210092944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ying He,A5100389169,4,University of North Texas,https://openalex.org/I123534392,Tianjin Renai College,https://openalex.org/I4403928323,Shenzhen University,https://openalex.org/I180726961,Tianjin Renai College,https://openalex.org/I4403928323,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiyu Wang,A5100437635,8,,,Shanghai East Hospital,https://openalex.org/I4210128175,PLA Information Engineering University,https://openalex.org/I169689159,Shanghai First People's Hospital,https://openalex.org/I4210135742,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,Shanghai Jiao Tong University,https://openalex.org/I183067930,Heilongjiang University,https://openalex.org/I55022517,Zero to Three,https://openalex.org/I4210119046,Shanghai First People's Hospital,https://openalex.org/I4210135742,,,Shanghai Children's Medical Center,https://openalex.org/I4210092101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingkai Yu,A5100608388,5,North China Electric Power University,https://openalex.org/I153473198,China-Japan Friendship Hospital,https://openalex.org/I2801051648,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Shanghai Jiao Tong University,https://openalex.org/I183067930,Ministry of Education of the People's Republic of China,https://openalex.org/I1327237609,Ministry of Education of the People's Republic of China,https://openalex.org/I1327237609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yichao Zhang,A5100625408,5,Tongji University,https://openalex.org/I116953780,Shanxi University,https://openalex.org/I181877577,Shanxi Medical University,https://openalex.org/I17721919,Hangzhou Normal University,https://openalex.org/I163151501,Shenyang Jianzhu University,https://openalex.org/I83714178,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minghua Zhang,A5100737340,5,Stony Brook University,https://openalex.org/I59553526,Sichuan University,https://openalex.org/I24185976,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,State University of New York,https://openalex.org/I1327163397,State University of New York,https://openalex.org/I1327163397,State University of New York,https://openalex.org/I1327163397,State University of New York,https://openalex.org/I1327163397,Chinese Academy of Sciences,https://openalex.org/I19820366,State University of New York,https://openalex.org/I1327163397,State University of New York,https://openalex.org/I1327163397,State University of New York,https://openalex.org/I1327163397,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghao Lu,A5101289776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziwei Xie,A5101644040,3,,,,,Tencent (China),https://openalex.org/I2250653659,Qufu Normal University,https://openalex.org/I202126657,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinyu Chen,A5101682928,7,,,,,Peking University,https://openalex.org/I20231570,The Ohio State University Wexner Medical Center,https://openalex.org/I2802841970,"University of California, San Diego",https://openalex.org/I36258959,Northeastern University,https://openalex.org/I12912129,Johns Hopkins Medicine,https://openalex.org/I2799853436,Loyola University Medical Center,https://openalex.org/I1304196042,China Pharmaceutical University,https://openalex.org/I161716053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiyuan Liu,A5101704539,3,,,Wuhan University,https://openalex.org/I37461747,ORCID,https://openalex.org/I4210142152,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minghui Tang,A5101876129,4,,,Hunan Children's Hospital,https://openalex.org/I4210132733,Sichuan University,https://openalex.org/I24185976,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,Health Sciences University of Hokkaido,https://openalex.org/I163793406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanting Chen,A5101983121,7,,,First Affiliated Hospital of Henan University,https://openalex.org/I4210155511,King Abdullah University of Science and Technology,https://openalex.org/I71920554,University of North Carolina at Chapel Hill,https://openalex.org/I114027177,Shandong University,https://openalex.org/I154099455,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,National Taiwan University of Science and Technology,https://openalex.org/I154864474,,,National Taiwan University of Science and Technology,https://openalex.org/I154864474,,,,,,,,,,,,,,,,,National Central University,https://openalex.org/I22265921,National Central University,https://openalex.org/I22265921,National Central University,https://openalex.org/I22265921,,,,,,,,,,,,,,,,,,
Yaofeng Sun,A5102212666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beijing University of Technology,https://openalex.org/I37796252,,,,,,,,,,,,,,
Zihui Gu,A5102691681,1,,,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhe Fu,A5103128811,5,Third Affiliated Hospital of Zhengzhou University,https://openalex.org/I4210144384,Sun Yat-sen University,https://openalex.org/I157773358,Guangdong University of Technology,https://openalex.org/I139024713,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,,,,,University of Cambridge,https://openalex.org/I241749,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangyun Lin,A5109672590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yao Li,A5110237033,6,,,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,Harbin Engineering University,https://openalex.org/I151727225,Chinese Academy of Sciences,https://openalex.org/I19820366,Tianjin University,https://openalex.org/I162868743,Harbin Institute of Technology,https://openalex.org/I204983213,Shandong University of Science and Technology,https://openalex.org/I80143920,Harbin Institute of Technology,https://openalex.org/I204983213,Harbin Institute of Technology,https://openalex.org/I204983213,Harbin Institute of Technology,https://openalex.org/I204983213,,,Harbin Institute of Technology,https://openalex.org/I204983213,,,Harbin Institute of Technology,https://openalex.org/I204983213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Pei,A5110880895,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianzhong Guo,A5111161539,6,,,Zhejiang A & F University,https://openalex.org/I1284762954,Henan University,https://openalex.org/I173899330,Zhejiang A & F University,https://openalex.org/I1284762954,Zhejiang A & F University,https://openalex.org/I1284762954,Zhejiang A & F University,https://openalex.org/I1284762954,Jiyang College of Zhejiang A&F University,https://openalex.org/I4210126248,Zhejiang A & F University,https://openalex.org/I1284762954,Gheorghe Asachi Technical University of Iași,https://openalex.org/I4210108695,Zhejiang A & F University,https://openalex.org/I1284762954,,,Zhejiang A & F University,https://openalex.org/I1284762954,,,,,,,,,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,,,Zhejiang Academy of Forestry,https://openalex.org/I4210166194,,,,,,,,,,,,,,,,,,,,
Zehui Ren,A5112250476,4,,,Sun Yat-sen University,https://openalex.org/I157773358,China University of Mining and Technology,https://openalex.org/I25757504,,,,,,,University of British Columbia,https://openalex.org/I141945490,,,University of Manchester,https://openalex.org/I28407311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaotao Nie,A5113091615,2,,,,,,,,,,,,,,,Zhejiang University,https://openalex.org/I76130692,,,,,,,,,Dalian Institute of Chemical Physics,https://openalex.org/I180585399,Dalian Institute of Chemical Physics,https://openalex.org/I180585399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honghui Ding,A5113640093,4,,,,,Wenzhou University,https://openalex.org/I146620803,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,First Affiliated Hospital of Shantou University Medical College,https://openalex.org/I4210115239,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Liu,A5115601909,1,,,Zhejiang Normal University,https://openalex.org/I135237710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erhang Li,A5113091614,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel (United Kingdom),https://openalex.org/I4210158342,,,Intel (United States),https://openalex.org/I1343180700,,,,,,,,,,,,,,,,,,
Xuecheng Su,A5111734260,3,,,,,Guangxi University,https://openalex.org/I150807315,University of Memphis,https://openalex.org/I94658018,,,,,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,,,,,,
J. L. Cai,A5075973287,6,,,Wuyi University,https://openalex.org/I98834328,Nanjing University,https://openalex.org/I881766915,The Synergetic Innovation Center for Advanced Materials,https://openalex.org/I4210159340,Nanjing Forestry University,https://openalex.org/I167027274,Nanjing Forestry University,https://openalex.org/I167027274,Zhongshan Hospital of Xiamen University,https://openalex.org/I4210124907,Zhongshan Hospital of Xiamen University,https://openalex.org/I4210124907,Zhongshan Hospital of Xiamen University,https://openalex.org/I4210124907,Zhongshan Hospital of Xiamen University,https://openalex.org/I4210124907,Zhongshan Hospital of Xiamen University,https://openalex.org/I4210124907,Xiamen University,https://openalex.org/I191208505,,,Xiamen University,https://openalex.org/I191208505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukun Zha,A5006037200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X. Q. Li,A5006875159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,China Institute of Atomic Energy,https://openalex.org/I4210096139,China Institute of Atomic Energy,https://openalex.org/I4210096139,China Institute of Atomic Energy,https://openalex.org/I4210096139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
