Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1944,affiliation_id_1944,affiliation_country_1944,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923
Amy Cyphert,A5042134422,1,False,False,True,United States,,,,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,,,,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,,,,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,,,,Virginia College,https://openalex.org/I2800680523,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Doumanoglou,A5064058456,2,False,True,False,China; United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,China Philanthropy Research Institute,https://openalex.org/I4210144971,China,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Terzis,A5103331911,10,False,False,True,France; Greece; Japan; United Kingdom; United States,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,University of Patras,https://openalex.org/I174878644,Greece,Film Independent,https://openalex.org/I4210121988,United States,,,,University of Patras,https://openalex.org/I174878644,Greece,Johns Hopkins University,https://openalex.org/I145311948,United States,University of Patras,https://openalex.org/I174878644,Greece,Google (United States),https://openalex.org/I1291425158,United States,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,George Washington University,https://openalex.org/I193531525,United States,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,University of Patras,https://openalex.org/I174878644,Greece,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,University of Patras,https://openalex.org/I174878644,Greece,Foundation for Research and Technology Hellas,https://openalex.org/I8901234,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,,,,,,,University of Patras,https://openalex.org/I174878644,Greece,The University of Tokyo,https://openalex.org/I74801974,Japan,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeliki Lazaridou,A5042659302,9,False,False,True,Cyprus; Greece; Italy; Norway; United Kingdom; United States,,,,University of Thessaly,https://openalex.org/I145722265,Greece,University of Thessaly,https://openalex.org/I145722265,Greece,Telio (Norway),https://openalex.org/I2801177623,Norway,Meta (United States),https://openalex.org/I4210114444,United States,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,University of Thessaly,https://openalex.org/I145722265,Greece,University of Trento,https://openalex.org/I193223587,Italy,New York University,https://openalex.org/I57206974,United States,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,,,,National and Kapodistrian University of Athens,https://openalex.org/I200777214,Greece,,,,University of Nicosia,https://openalex.org/I17389662,Cyprus,Intercollege,https://openalex.org/I4210099340,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Dedieu,A5091131733,2,False,False,True,United Kingdom; United States,,,,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,,,,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armand Joulin,A5107859338,9,False,False,True,Burundi; France; Israel; United Kingdom; United States,,,,,,,,,,Meta (United Kingdom),https://openalex.org/I4210111288,United Kingdom,University College London,https://openalex.org/I45129253,United Kingdom,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I2252078561,Israel,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,Meta (United States),https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I4210114444,United States,Stanford University,https://openalex.org/I97018004,United States,Meta (United States),https://openalex.org/I4210114444,United States,Stanford University,https://openalex.org/I97018004,United States,Institut national de recherche en informatique et en automatique,https://openalex.org/I1326498283,France,École Normale Supérieure,https://openalex.org/I4210103330,Burundi,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210162280,France,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210162280,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babak Samari,A5052565533,1,False,False,False,Canada,,,,,,,,,,,,,,,,,,,McGill University,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahare Fatemi,A5063661444,1,False,False,False,Canada,,,,,,,,,,,,,,,,University of British Columbia,https://openalex.org/I141945490,Canada,University of British Columbia,https://openalex.org/I141945490,Canada,University of British Columbia,https://openalex.org/I141945490,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Hora,A5120056008,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biao Zhang,A5100363719,9,False,True,False,China; United Kingdom,,,,Soochow University,https://openalex.org/I3923682,China,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,Beijing Advanced Sciences and Innovation Center,https://openalex.org/I4210165198,China,Minjiang University,https://openalex.org/I354108,China,Soochow University,https://openalex.org/I3923682,China,Xiamen University,https://openalex.org/I191208505,China,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Jilin University,https://openalex.org/I194450716,China,,,,,,,,,,Hefei University of Technology,https://openalex.org/I16365422,China,,,,,,,Hebei Normal University,https://openalex.org/I94611258,China,,,,Hebei Normal University,https://openalex.org/I94611258,China,Hebei Normal University,https://openalex.org/I94611258,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Chen,A5114141711,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Potetz,A5120056009,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. K. Yip,A5045065945,6,False,True,False,Canada; China; Hong Kong; Netherlands; United Kingdom,,,,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,,,,,,,Toronto Public Health,https://openalex.org/I184430034,Canada,,,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Kwai Chung Hospital,https://openalex.org/I2801745840,China,,,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Novem (Netherlands),https://openalex.org/I4210090073,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lancaster University,https://openalex.org/I67415387,United Kingdom,,,,Lancaster University,https://openalex.org/I67415387,United Kingdom,,,,,,,,,,,,,,,,,,,,,
Chad Brick,A5032173284,5,False,False,True,Italy; Sweden; United States,,,,,,,,,,,,,Temple University,https://openalex.org/I84392919,United States,,,,,,,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,United States,Caerus Molecular Diagnostics (United States),https://openalex.org/I4210129774,United States,,,,,,,,,,,,,,,,,,,University of Milan,https://openalex.org/I189158943,Italy,,,,,,,,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,United States,University of Michigan–Ann Arbor,https://openalex.org/I27837315,United States,,,,,,,Karlstad University,https://openalex.org/I43968019,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher A. Choquette-Choo,A5063017186,5,False,False,True,Canada; Germany; United Kingdom; United States,Michael & Associates,https://openalex.org/I4210131859,United States,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Brain (Germany),https://openalex.org/I4210113520,Germany,,,,Vector Institute,https://openalex.org/I4210127509,Canada,Vector Institute,https://openalex.org/I4210127509,Canada,University of Toronto,https://openalex.org/I185261750,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher De,A5041869459,2,False,False,True,United States,,,,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahun Kim,A5084688455,5,False,False,False,Canada; Germany; South Korea; United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Brain (Germany),https://openalex.org/I4210113520,Germany,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Canada,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Canada,Korea Institute of Science & Technology Information,https://openalex.org/I878022262,South Korea,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Canada,Kootenay Association for Science & Technology,https://openalex.org/I4210099236,Canada,Daejeon Institute of Science and Technology,https://openalex.org/I4210134443,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
